date,state,fips,cases,deaths,daily cases,daily deaths
2020-12-07,Washington,53,191468,3080,5963.0,15.0
2020-12-08,Washington,53,194788,3102,3320.0,22.0
2020-12-09,Washington,53,197973,3146,3185.0,44.0
2020-12-10,Washington,53,201179,3075,3206.0,-71.0
2020-12-11,Washington,53,204484,3097,3305.0,22.0
2020-12-12,Washington,53,207399,3043,2915.0,-54.0
2020-12-13,Washington,53,209385,3045,1986.0,2.0
2020-12-14,Washington,53,212342,3084,2957.0,39.0
2020-12-15,Washington,53,214085,3123,1743.0,39.0
2020-12-16,Washington,53,215310,3139,1225.0,16.0
2020-12-17,Washington,53,220628,3170,5318.0,31.0
2020-12-18,Washington,53,224594,3168,3966.0,-2.0
2020-12-19,Washington,53,226551,3169,1957.0,1.0
2020-12-20,Washington,53,227049,3170,498.0,1.0
2020-12-21,Washington,53,230642,3186,3593.0,16.0
2020-12-22,Washington,53,232204,3214,1562.0,28.0
2020-12-23,Washington,53,234832,3245,2628.0,31.0
2020-12-24,Washington,53,237269,3268,2437.0,23.0
2020-12-25,Washington,53,237689,3268,420.0,0.0
2020-12-26,Washington,53,240763,3283,3074.0,15.0
2020-12-27,Washington,53,241036,3283,273.0,0.0
2020-12-28,Washington,53,243547,3300,2511.0,17.0
2020-12-29,Washington,53,245692,3433,2145.0,133.0
2020-12-30,Washington,53,247455,3486,1763.0,53.0
2020-12-31,Washington,53,251064,3523,3609.0,37.0
2021-01-01,Washington,53,251585,3523,521.0,0.0
2021-01-02,Washington,53,253290,3524,1705.0,1.0
2021-01-03,Washington,53,258557,3524,5267.0,0.0
2021-01-04,Washington,53,261328,3558,2771.0,34.0
2021-01-05,Washington,53,263713,3611,2385.0,53.0
2021-01-06,Washington,53,265790,3681,2077.0,70.0
2021-01-07,Washington,53,269033,3719,3243.0,38.0
2021-01-08,Washington,53,273142,3768,4109.0,49.0
2021-01-09,Washington,53,275832,3775,2690.0,7.0
2021-01-10,Washington,53,276333,3776,501.0,1.0
2021-01-11,Washington,53,281071,3793,4738.0,17.0
2021-01-12,Washington,53,283363,3869,2292.0,76.0
2021-01-13,Washington,53,285690,3909,2327.0,40.0
2021-01-14,Washington,53,288127,3949,2437.0,40.0
2021-01-15,Washington,53,290288,3972,2161.0,23.0
2021-01-16,Washington,53,290896,3971,608.0,-1.0
2021-01-17,Washington,53,293296,3971,2400.0,0.0
2021-01-18,Washington,53,293739,3974,443.0,3.0
2021-01-19,Washington,53,296519,4020,2780.0,46.0
2021-01-20,Washington,53,298487,4021,1968.0,1.0
2021-01-21,Washington,53,300420,4131,1933.0,110.0
2021-01-22,Washington,53,302546,4178,2126.0,47.0
2021-01-23,Washington,53,304107,4182,1561.0,4.0
2021-01-24,Washington,53,304523,4182,416.0,0.0
2021-01-25,Washington,53,306489,4221,1966.0,39.0
2021-01-26,Washington,53,307880,4245,1391.0,24.0
2021-01-27,Washington,53,309604,4294,1724.0,49.0
2021-01-28,Washington,53,312042,4328,2438.0,34.0
2021-01-29,Washington,53,314033,4368,1991.0,40.0
2021-01-30,Washington,53,315448,4368,1415.0,0.0
2021-01-31,Washington,53,315769,4369,321.0,1.0
2021-02-01,Washington,53,317703,4404,1934.0,35.0
2021-02-02,Washington,53,318967,4402,1264.0,-2.0
2021-02-03,Washington,53,320502,4466,1535.0,64.0
2021-02-04,Washington,53,321940,4492,1438.0,26.0
2021-02-05,Washington,53,323334,4526,1394.0,34.0
2021-02-06,Washington,53,323748,4527,414.0,1.0
2021-02-07,Washington,53,323947,4531,199.0,4.0
2021-02-08,Washington,53,326625,4540,2678.0,9.0
2021-02-09,Washington,53,327397,4635,772.0,95.0
2021-02-10,Washington,53,328246,4675,849.0,40.0
2021-02-11,Washington,53,329170,4701,924.0,26.0
2021-02-12,Washington,53,330427,4739,1257.0,38.0
2021-02-13,Washington,53,331033,4739,606.0,0.0
2021-02-14,Washington,53,331164,4739,131.0,0.0
2021-02-15,Washington,53,331305,4739,141.0,0.0
2021-02-16,Washington,53,333185,4777,1880.0,38.0
2021-02-17,Washington,53,334284,4824,1099.0,47.0
2021-02-18,Washington,53,335338,4868,1054.0,44.0
2021-02-19,Washington,53,336184,4886,846.0,18.0
2021-02-20,Washington,53,336819,4886,635.0,0.0
2021-02-21,Washington,53,336945,4886,126.0,0.0
2021-02-22,Washington,53,338309,4924,1364.0,38.0
2021-02-23,Washington,53,339051,4947,742.0,23.0
2021-02-24,Washington,53,339913,4988,862.0,41.0
2021-02-25,Washington,53,340997,5015,1084.0,27.0
2021-02-26,Washington,53,341941,5024,944.0,9.0
2021-02-27,Washington,53,342574,5024,633.0,0.0
2021-02-28,Washington,53,342644,5024,70.0,0.0
2021-03-01,Washington,53,343723,5038,1079.0,14.0
2021-03-02,Washington,53,344516,5056,793.0,18.0
2021-03-03,Washington,53,345193,5075,677.0,19.0
2021-03-04,Washington,53,346030,5098,837.0,23.0
2021-03-05,Washington,53,346733,5104,703.0,6.0
2021-03-06,Washington,53,347301,5107,568.0,3.0
2021-03-07,Washington,53,347391,5108,90.0,1.0
2021-03-08,Washington,53,348485,5129,1094.0,21.0
2021-03-09,Washington,53,349196,5141,711.0,12.0
2021-03-10,Washington,53,349881,5159,685.0,18.0
2021-03-11,Washington,53,350661,5167,780.0,8.0
2021-03-12,Washington,53,351419,5183,758.0,16.0
2021-03-13,Washington,53,352116,5183,697.0,0.0
2021-03-14,Washington,53,352225,5183,109.0,0.0
2021-03-15,Washington,53,353344,5192,1119.0,9.0
2021-03-16,Washington,53,353981,5206,637.0,14.0
2021-03-17,Washington,53,354906,5212,925.0,6.0
2021-03-18,Washington,53,355706,5225,800.0,13.0
2021-03-19,Washington,53,356637,5224,931.0,-1.0
2021-03-20,Washington,53,357376,5224,739.0,0.0
2021-03-21,Washington,53,357420,5224,44.0,0.0
2021-03-22,Washington,53,358727,5232,1307.0,8.0
2021-03-23,Washington,53,359290,5249,563.0,17.0
2021-03-24,Washington,53,360203,5250,913.0,1.0
2021-03-25,Washington,53,361300,5286,1097.0,36.0
2021-03-26,Washington,53,362403,5288,1103.0,2.0
2021-03-27,Washington,53,363588,5288,1185.0,0.0
2021-03-28,Washington,53,363659,5288,71.0,0.0
2021-03-29,Washington,53,365029,5296,1370.0,8.0
2021-03-30,Washington,53,365816,5302,787.0,6.0
2021-03-31,Washington,53,366907,5309,1091.0,7.0
2021-04-01,Washington,53,368049,5316,1142.0,7.0
2021-04-02,Washington,53,369319,5325,1270.0,9.0
2021-04-03,Washington,53,370362,5326,1043.0,1.0
2021-04-04,Washington,53,370409,5326,47.0,0.0
2021-04-05,Washington,53,372631,5338,2222.0,12.0
2021-04-06,Washington,53,373227,5350,596.0,12.0
2021-04-07,Washington,53,374402,5357,1175.0,7.0
2021-04-08,Washington,53,375381,5367,979.0,10.0
2021-04-09,Washington,53,376812,5373,1431.0,6.0
2021-04-10,Washington,53,377979,5373,1167.0,0.0
2021-04-11,Washington,53,378052,5373,73.0,0.0
2021-04-12,Washington,53,380554,5380,2502.0,7.0
2021-04-13,Washington,53,381537,5391,983.0,11.0
2021-04-14,Washington,53,382627,5407,1090.0,16.0
2021-04-15,Washington,53,383951,5412,1324.0,5.0
2021-04-16,Washington,53,385695,5427,1744.0,15.0
2021-04-17,Washington,53,387312,5427,1617.0,0.0
2021-04-18,Washington,53,387382,5427,70.0,0.0
2021-04-19,Washington,53,388842,5439,1460.0,12.0
2021-04-20,Washington,53,390415,5451,1573.0,12.0
2021-04-21,Washington,53,392013,5466,1598.0,15.0
2021-04-22,Washington,53,393514,5472,1501.0,6.0
2021-04-23,Washington,53,395354,5477,1840.0,5.0
2021-04-24,Washington,53,396890,5478,1536.0,1.0
2021-04-25,Washington,53,397006,5478,116.0,0.0
2021-04-26,Washington,53,399327,5498,2321.0,20.0
2021-04-27,Washington,53,400386,5510,1059.0,12.0
2021-04-28,Washington,53,402049,5522,1663.0,12.0
2021-04-29,Washington,53,403589,5535,1540.0,13.0
2021-04-30,Washington,53,404972,5547,1383.0,12.0
2021-05-01,Washington,53,406546,5547,1574.0,0.0
2021-05-02,Washington,53,406659,5547,113.0,0.0
2021-05-03,Washington,53,409151,5555,2492.0,8.0
2021-05-04,Washington,53,410494,5575,1343.0,20.0
2021-05-05,Washington,53,411842,5586,1348.0,11.0
2021-05-06,Washington,53,413004,5598,1162.0,12.0
2021-05-07,Washington,53,414479,5609,1475.0,11.0
2021-05-08,Washington,53,415873,5609,1394.0,0.0
2021-05-09,Washington,53,415942,5609,69.0,0.0
