date,daily cases,daily deaths,state
2020-07-30,68948.0,1261.0,US
2020-07-31,69088.0,1429.0,US
2020-08-01,56828.0,1055.0,US
2020-08-02,50794.0,420.0,US
2020-08-03,47484.0,608.0,US
2020-08-04,53549.0,1356.0,US
2020-08-05,53723.0,1253.0,US
2020-08-06,57514.0,1071.0,US
2020-08-07,61157.0,1356.0,US
2020-08-08,55240.0,966.0,US
2020-08-09,48480.0,539.0,US
2020-08-10,47173.0,537.0,US
2020-08-11,53357.0,1451.0,US
2020-08-12,54278.0,1478.0,US
2020-08-13,54061.0,1213.0,US
2020-08-14,59477.0,1176.0,US
2020-08-15,50743.0,1059.0,US
2020-08-16,42137.0,515.0,US
2020-08-17,37523.0,534.0,US
2020-08-18,43233.0,1349.0,US
2020-08-19,43013.0,1295.0,US
2020-08-20,46042.0,1043.0,US
2020-08-21,49016.0,1161.0,US
2020-08-22,45026.0,950.0,US
2020-08-23,32333.0,446.0,US
2020-08-24,40404.0,504.0,US
2020-08-25,39131.0,1213.0,US
2020-08-26,45147.0,1193.0,US
2020-08-27,45836.0,1126.0,US
2020-08-28,46564.0,1010.0,US
2020-08-29,44609.0,871.0,US
2020-08-30,33429.0,374.0,US
2020-08-31,36487.0,488.0,US
2020-09-01,44049.0,1091.0,US
2020-09-02,32444.0,1076.0,US
2020-09-03,46397.0,1078.0,US
2020-09-04,52101.0,980.0,US
2020-09-05,42253.0,712.0,US
2020-09-06,29998.0,411.0,US
2020-09-07,25166.0,263.0,US
2020-09-08,28942.0,458.0,US
2020-09-09,33332.0,1175.0,US
2020-09-10,38061.0,915.0,US
2020-09-11,47567.0,1227.0,US
2020-09-12,39104.0,701.0,US
2020-09-13,33343.0,399.0,US
2020-09-14,36887.0,450.0,US
2020-09-15,39217.0,1281.0,US
2020-09-16,39268.0,997.0,US
2020-09-17,45310.0,849.0,US
2020-09-18,48887.0,949.0,US
2020-09-19,41811.0,670.0,US
2020-09-20,36356.0,213.0,US
2020-09-21,54952.0,430.0,US
2020-09-22,37391.0,941.0,US
2020-09-23,41549.0,1090.0,US
2020-09-24,45204.0,885.0,US
2020-09-25,54581.0,853.0,US
2020-09-26,42695.0,769.0,US
2020-09-27,37298.0,267.0,US
2020-09-28,37360.0,350.0,US
2020-09-29,43697.0,926.0,US
2020-09-30,42058.0,974.0,US
2020-10-01,46418.0,847.0,US
2020-10-02,53580.0,865.0,US
2020-10-03,47779.0,709.0,US
2020-10-04,35063.0,333.0,US
2020-10-05,62413.0,429.0,US
2020-10-06,42862.0,721.0,US
2020-10-07,53017.0,996.0,US
2020-10-08,56382.0,928.0,US
2020-10-09,58962.0,915.0,US
2020-10-10,51648.0,592.0,US
2020-10-11,44783.0,419.0,US
2020-10-12,48016.0,351.0,US
2020-10-13,54393.0,826.0,US
2020-10-14,59853.0,1009.0,US
2020-10-15,65353.0,793.0,US
2020-10-16,70464.0,891.0,US
2020-10-17,52761.0,678.0,US
2020-10-18,47882.0,387.0,US
2020-10-19,65440.0,517.0,US
2020-10-20,60594.0,929.0,US
2020-10-21,64237.0,1208.0,US
2020-10-22,75130.0,828.0,US
2020-10-23,85297.0,930.0,US
2020-10-24,78579.0,872.0,US
2020-10-25,59715.0,339.0,US
2020-10-26,74638.0,537.0,US
2020-10-27,74387.0,983.0,US
2020-10-28,81882.0,1018.0,US
2020-10-29,90669.0,1004.0,US
2020-10-30,99868.0,968.0,US
2020-10-31,84207.0,838.0,US
2020-11-01,74195.0,428.0,US
2020-11-02,94006.0,540.0,US
2020-11-03,92416.0,1130.0,US
2020-11-04,108078.0,1616.0,US
2020-11-05,121349.0,1108.0,US
2020-11-06,132823.0,1248.0,US
2020-11-07,125931.0,1007.0,US
2020-11-08,103323.0,464.0,US
2020-11-09,130444.0,745.0,US
2020-11-10,139684.0,1464.0,US
2020-11-11,143039.0,1431.0,US
2020-11-12,163651.0,1172.0,US
2020-11-13,181496.0,1390.0,US
2020-11-14,159033.0,1210.0,US
2020-11-15,135186.0,623.0,US
2020-11-16,166563.0,796.0,US
2020-11-17,161631.0,1607.0,US
2020-11-18,172280.0,1924.0,US
2020-11-19,187508.0,1961.0,US
2020-11-20,198859.0,1957.0,US
2020-11-21,171933.0,1425.0,US
2020-11-22,140794.0,843.0,US
2020-11-23,179623.0,1038.0,US
2020-11-24,177858.0,2209.0,US
2020-11-25,180590.0,2313.0,US
2020-11-26,102994.0,1178.0,US
2020-11-27,205839.0,1412.0,US
2020-11-28,151408.0,1192.0,US
2020-11-29,136122.0,818.0,US
2020-11-30,167658.0,1270.0,US
2020-12-01,184228.0,2608.0,US
2020-12-02,201172.0,2886.0,US
2020-12-03,217738.0,2856.0,US
2020-12-04,231368.0,2637.0,US
2020-12-05,205708.0,2190.0,US
2020-12-06,171921.0,1111.0,US
2020-12-07,204523.0,1534.0,US
2020-12-08,219714.0,2821.0,US
2020-12-09,219716.0,3156.0,US
2020-12-10,225722.0,2941.0,US
2020-12-11,280016.0,2955.0,US
2020-12-12,207532.0,2255.0,US
2020-12-13,184219.0,1357.0,US
2020-12-14,200885.0,1678.0,US
2020-12-15,203153.0,3025.0,US
2020-12-16,244827.0,3611.0,US
2020-12-17,237709.0,3298.0,US
2020-12-18,251190.0,2870.0,US
2020-12-19,193905.0,2561.0,US
2020-12-20,179911.0,1429.0,US
2020-12-21,201518.0,1963.0,US
2020-12-22,201637.0,3239.0,US
2020-12-23,227763.0,3412.0,US
2020-12-24,193511.0,2824.0,US
2020-12-25,100931.0,1129.0,US
2020-12-26,216861.0,1646.0,US
2020-12-27,152089.0,1230.0,US
2020-12-28,189010.0,1899.0,US
2020-12-29,201030.0,3628.0,US
2020-12-30,228949.0,3808.0,US
2020-12-31,231024.0,3462.0,US
2021-01-01,147248.0,1920.0,US
2021-01-02,291610.0,2373.0,US
2021-01-03,201780.0,1351.0,US
2021-01-04,251830.0,2049.0,US
2021-01-05,235016.0,3689.0,US
2021-01-06,255966.0,3964.0,US
2021-01-07,280334.0,4113.0,US
2021-01-08,300777.0,3895.0,US
2021-01-09,251919.0,3259.0,US
2021-01-10,208295.0,1777.0,US
2021-01-11,226316.0,2048.0,US
2021-01-12,229977.0,4406.0,US
2021-01-13,229325.0,3930.0,US
2021-01-14,239522.0,3980.0,US
2021-01-15,239853.0,3749.0,US
2021-01-16,202193.0,3341.0,US
2021-01-17,170094.0,1730.0,US
2021-01-18,141133.0,1441.0,US
2021-01-19,186944.0,2771.0,US
2021-01-20,185488.0,4380.0,US
2021-01-21,190482.0,4135.0,US
2021-01-22,191565.0,3731.0,US
2021-01-23,167917.0,3322.0,US
2021-01-24,129676.0,1815.0,US
2021-01-25,156576.0,1907.0,US
2021-01-26,150638.0,4098.0,US
2021-01-27,155770.0,4102.0,US
2021-01-28,166175.0,3868.0,US
2021-01-29,164615.0,3600.0,US
2021-01-30,133800.0,2641.0,US
2021-01-31,114040.0,1864.0,US
2021-02-01,141609.0,1950.0,US
2021-02-02,115256.0,3611.0,US
2021-02-03,120183.0,3843.0,US
2021-02-04,125636.0,5117.0,US
2021-02-05,129501.0,3570.0,US
2021-02-06,104947.0,2662.0,US
2021-02-07,87281.0,1301.0,US
2021-02-08,92982.0,1583.0,US
2021-02-09,96390.0,3170.0,US
2021-02-10,94975.0,3254.0,US
2021-02-11,105640.0,3878.0,US
2021-02-12,99627.0,5463.0,US
2021-02-13,84652.0,3372.0,US
2021-02-14,63780.0,1081.0,US
2021-02-15,55272.0,994.0,US
2021-02-16,64540.0,1707.0,US
2021-02-17,70161.0,2471.0,US
2021-02-18,71791.0,2625.0,US
2021-02-19,78012.0,2621.0,US
2021-02-20,69720.0,1831.0,US
2021-02-21,55180.0,1247.0,US
2021-02-22,59466.0,1454.0,US
2021-02-23,71913.0,2328.0,US
2021-02-24,74194.0,3210.0,US
2021-02-25,77882.0,2465.0,US
2021-02-26,78317.0,2176.0,US
2021-02-27,62674.0,1567.0,US
2021-02-28,50905.0,1129.0,US
2021-03-01,56696.0,1425.0,US
2021-03-02,57644.0,1306.0,US
2021-03-03,66612.0,2369.0,US
2021-03-04,67282.0,1949.0,US
2021-03-05,65695.0,2483.0,US
2021-03-06,56585.0,1459.0,US
2021-03-07,40064.0,676.0,US
2021-03-08,94513.0,820.0,US
2021-03-09,55899.0,1885.0,US
2021-03-10,58195.0,1474.0,US
2021-03-11,62387.0,1524.0,US
2021-03-12,64166.0,1705.0,US
2021-03-13,49557.0,1874.0,US
2021-03-14,37989.0,569.0,US
2021-03-15,57164.0,753.0,US
2021-03-16,54531.0,1244.0,US
2021-03-17,58931.0,1177.0,US
2021-03-18,60470.0,1558.0,US
2021-03-19,60623.0,1514.0,US
2021-03-20,54425.0,772.0,US
2021-03-21,34193.0,448.0,US
2021-03-22,54716.0,648.0,US
2021-03-23,56746.0,893.0,US
2021-03-24,79903.0,1590.0,US
2021-03-25,69116.0,1270.0,US
2021-03-26,74499.0,1260.0,US
2021-03-27,60700.0,780.0,US
2021-03-28,44515.0,490.0,US
2021-03-29,70739.0,685.0,US
2021-03-30,62234.0,947.0,US
2021-03-31,67936.0,1135.0,US
2021-04-01,77193.0,957.0,US
2021-04-02,68589.0,956.0,US
2021-04-03,64136.0,753.0,US
2021-04-04,36823.0,272.0,US
2021-04-05,76594.0,530.0,US
2021-04-06,61972.0,909.0,US
2021-04-07,73090.0,2571.0,US
2021-04-08,80458.0,1002.0,US
2021-04-09,81582.0,946.0,US
2021-04-10,64758.0,704.0,US
2021-04-11,47977.0,301.0,US
2021-04-12,71932.0,465.0,US
2021-04-13,77321.0,983.0,US
2021-04-14,75750.0,935.0,US
2021-04-15,73694.0,917.0,US
2021-04-16,78354.0,935.0,US
2021-04-17,53874.0,677.0,US
2021-04-18,41399.0,358.0,US
2021-04-19,70260.0,485.0,US
2021-04-20,61024.0,832.0,US
2021-04-21,62495.0,840.0,US
2021-04-22,66241.0,911.0,US
2021-04-23,63784.0,873.0,US
2021-04-24,50468.0,725.0,US
2021-04-25,33591.0,282.0,US
2021-04-26,47335.0,479.0,US
2021-04-27,51877.0,713.0,US
2021-04-28,54818.0,934.0,US
2021-04-29,57582.0,874.0,US
2021-04-30,58517.0,860.0,US
2021-05-01,44759.0,715.0,US
2021-05-02,29632.0,312.0,US
2021-05-03,49944.0,459.0,US
2021-05-04,40955.0,904.0,US
2021-05-05,44719.0,776.0,US
2021-05-06,47694.0,832.0,US
2021-05-07,47493.0,812.0,US
2021-05-08,33666.0,604.0,US
2021-05-09,22328.0,246.0,US
2021-05-10,36557.0,370.0,US
2021-05-11,34041.0,693.0,US
2021-05-12,35483.0,848.0,US
2021-05-13,38439.0,780.0,US
2021-05-14,40981.0,732.0,US
2021-05-15,29050.0,559.0,US
2021-05-16,16710.0,292.0,US
2021-05-17,29207.0,384.0,US
2021-05-18,27863.0,867.0,US
2021-05-19,28794.0,675.0,US
2021-05-20,29618.0,654.0,US
2021-05-21,36800.0,696.0,US
2021-05-22,10527.0,479.0,US
2021-05-23,14150.0,189.0,US
2021-05-24,25628.0,417.0,US
2021-05-25,22838.0,700.0,US
2021-05-26,23386.0,966.0,US
2021-05-27,27747.0,1341.0,US
2021-05-28,22024.0,759.0,US
2021-05-29,11560.0,339.0,US
2021-05-30,7442.0,131.0,US
2021-05-31,5503.0,150.0,US
2021-06-01,22570.0,520.0,US
2021-06-02,16858.0,594.0,US
2021-06-03,19471.0,616.0,US
2021-06-04,-23999.0,139.0,US
2021-06-05,10448.0,375.0,US
2021-06-06,6153.0,252.0,US
2021-06-07,19452.0,336.0,US
2021-06-08,14185.0,375.0,US
2021-06-09,20664.0,572.0,US
2021-06-10,15799.0,460.0,US
2021-06-11,16827.0,517.0,US
2021-06-12,8279.0,170.0,US
2021-06-13,6787.0,95.0,US
2021-06-14,15119.0,210.0,US
2021-06-15,11872.0,452.0,US
2021-06-16,14411.0,424.0,US
2021-06-17,12187.0,288.0,US
2021-06-18,12700.0,469.0,US
2021-06-19,7580.0,169.0,US
2021-06-20,4063.0,90.0,US
2021-06-21,15844.0,288.0,US
2021-06-22,12761.0,432.0,US
2021-06-23,14031.0,398.0,US
2021-06-24,14695.0,355.0,US
2021-06-25,14963.0,458.0,US
2021-06-26,6791.0,126.0,US
2021-06-27,4087.0,96.0,US
2021-06-28,15548.0,161.0,US
2021-06-29,15729.0,379.0,US
2021-06-30,15977.0,323.0,US
2021-07-01,64959.0,247.0,US
2021-07-02,20436.0,266.0,US
2021-07-03,3993.0,86.0,US
2021-07-04,2922.0,37.0,US
2021-07-05,4591.0,41.0,US
2021-07-06,27077.0,317.0,US
2021-07-07,30219.0,322.0,US
2021-07-08,49233.0,366.0,US
2021-07-09,35335.0,407.0,US
2021-07-10,7758.0,88.0,US
2021-07-11,5543.0,30.0,US
2021-07-12,35383.0,273.0,US
2021-07-13,42982.0,432.0,US
2021-07-14,38055.0,393.0,US
2021-07-15,36018.0,338.0,US
2021-07-16,52224.0,357.0,US
2021-07-17,12445.0,83.0,US
2021-07-18,9027.0,37.0,US
2021-07-19,59182.0,231.0,US
2021-07-20,62111.0,300.0,US
2021-07-21,60053.0,397.0,US
2021-07-22,65519.0,362.0,US
2021-07-23,82781.0,443.0,US
2021-07-24,21590.0,101.0,US
2021-07-25,13833.0,49.0,US
2021-07-26,93086.0,259.0,US
2021-07-27,106818.0,484.0,US
2021-07-28,84961.0,505.0,US
2021-07-29,98294.0,393.0,US
2021-07-30,122674.0,671.0,US
2021-07-31,29698.0,144.0,US
2021-08-01,22894.0,63.0,US
2021-08-02,136170.0,458.0,US
2021-08-03,150311.0,669.0,US
2021-08-04,112344.0,725.0,US
2021-08-05,126972.0,574.0,US
2021-08-06,168351.0,849.0,US
2021-08-07,42115.0,206.0,US
2021-08-08,36068.0,131.0,US
2021-08-09,178691.0,720.0,US
2021-08-10,162091.0,1049.0,US
